application_id,expected_outcome,detail
APP6000,ready,ready
APP6001,incomplete,incomplete
APP6002,incomplete,incomplete
APP6003,ready,ready
APP6004,ready,ready
APP6005,needs_review,needs_review_stale
APP6006,needs_review,needs_review_stale
APP6007,needs_review,needs_review_illegible
APP6008,needs_review,needs_review_name_mismatch
APP6009,ready,ready
APP6010,ready,ready
APP6011,needs_review,needs_review_stale
APP6012,needs_review,needs_review_name_mismatch
APP6013,incomplete,incomplete
APP6014,ready,ready
APP6015,incomplete,incomplete
APP6016,needs_review,needs_review_illegible
APP6017,ready,ready
APP6018,needs_review,needs_review_illegible
APP6019,needs_review,needs_review_name_mismatch
APP6020,ready,ready
APP6021,ready,ready
APP6022,incomplete,incomplete
APP6023,incomplete,incomplete
APP6024,needs_review,needs_review_stale
APP6025,ready,ready
